,company,comp_id
440,"АО ""Серпуховский завод ""Металлист""",23097
441,"АО ""АШ-СУ""",5917
442,ПАО «МИЭА»,24218
443,"ОАО ""Птицефабрика Таганрогская""",14723
444,ОАО «Текстильмаш»,22107
445,"ПАО ""Саратовнефтепродукт""",4801
446,"ПАО ""КоМЗ""",4004
447,"ПАО ""Бамстроймеханизация""",2289
448,"ООО ""Элемент Лизинг""",8392
449,"ПАО ""РЭСК""",5422
450,"ПАО ""Ульяновскэнерго""",3624
451,"Банк ""ВБРР"" (АО)",612
452,"ПАО ""Плюс Банк""",3063
453,"ОАО ""Моздокские узоры""",7736
454,"ПАО ""Нептун""",17270
455,"ОАО ""Волгоцеммаш""",11969
456,"ПАО ""ВНИПИгаздобыча""",5681
457,"АО КБ ""Хлынов""",1748
458,"ПАО ""САРОВБИЗНЕСБАНК""",2050
459,"ПАО ""СПОГАТ-1""",23502
460,"ПАО ""ИК ""Ермак""",315
461,"ПАО ""Юнипро""",7878
462,"АО ""Прибой""",4682
463,"ПАО ""Тулатоппром""",23032
464,"ОАО ""Южуралкондитер""",2285
465,"ОАО ""Холдинговая компания Элинар""",624
466,"ПАО ""Сатурн""",5241
467,АО ЮниКредит Банк,2420
468,"АО ""АВАР""",1933
469,"ПАО ""АКИБАНК""",1118
470,"АО ""Главная дорога""",15293
471,"ПАО ""ЯТЭК""",4994
472,"ОАО ""Обь-Инвест""",id=53
473,"АО  ""Дукатская ГГК""",23771
474,"ООО ""Джи-групп""",37978
475,"ОАО ""ЧШФ ""Одежда""",12600
476,"АО ""Россети Тюмень""",5577
477,"ПАО АКБ ""Приморье""",2839
478,АМО ЗИЛ,3649
479,"ОАО ""Трест Переславльстрой""",26704
480,"ПАО ""Пролетарский завод""",1675
481,"ПАО ""НК ""Роснефть"" - МЗ ""Нефтепродукт""",29848
482,ОАО МРП,4335
483,"ПАО ""ВАСО""",2227
484,ПАО «СУС»,23563
485,"ПАО АКБ ""АВАНГАРД""",1070
486,ООО «Фольксваген Банк РУС»,33313
487,"АО ""Орелдорстрой""",14511
488,"ПАО ""Казанькомпрессормаш""",3173
489,"ПАО ""Химпром""",5727
490,"ПАО ""Мордовская энергосбытовая компания""; ПАО ""Мордовэнергосбыт""",5754
491,"ПАО ""Аэропорт Кольцово""",4565
492,"АО ХК ""Новотранс""",19309
493,ПАО Ставропольпромстройбанк,3573
494,"ПАО ""НК ""Роснефть"" - Мурманскнефтепродукт""",12722
495,"АО ""Атомэнергопром""",11230
496,"ОАО ""Вера""",14440
497,"АО ""Омречпорт""",29709
498,"ПАО ""Мосэнерго""",936
499,"АО ""Сафьян""",7971
500,"ОАО ""АТП-39""",28372
501,"АО ""Рязанский Радиозавод""",14335
502,"ПАО ""ОДК-Сатурн""",2348
503,ЗАО «Ламбумиз»,36391
504,"СПб ОАО ""Красный Октябрь""",3088
505,"АО ""КБ ""Кунцево""",14253
506,"ПАО ""Казанский вертолетный завод""",3919
507,"ПАО ""Интуравтосервис""",26703
508,"ОАО ""ДМЗ""",1068
509,"ПАО НПП ""ВНИИГИС""",20595
510,"АКБ ""ПРОМИНВЕСТБАНК"" (ПАО)",4020
511,"ПАО ""Интелтех""",1858
512,"СПАО ""Ингосстрах""",119
513,"АО ""Новосибирск-Лада""",18699
514,"ПАО ""НПО ""Алмаз""",8553
515,"ОАО ""Стройсервис""",10790
516,"ПАО ""Приморавтотранс""",720
517,"ПАО ""Аэрофлот""",1480
518,"ОАО ""Экстра-шов""",14170
519,"ПАО ""ОДК-УМПО""",8744
520,"АО ""Лидер-Инвест""",36668
521,"ПАО ""ТЗА""",1355
522,"АО ""Вертолеты России""",21113
523,"ОАО ""СМЗ""",6100
524,"АО ""Автоцентр-Тольятти-ВАЗ""",3941
525,"АО ""ЛК ""Европлан""",37082
526,"ПАО ""О11""",2091
527,"ПАО ""СИФП ""Главный""",1167
528,"АО ""Ткацкая фабрика ""Медтекс""",24869
529,"ОАО ""Кубарус-Молоко""",3468
530,"АО ""Рубин""",11860
531,"ПАО ""Орёлстрой""",5270
532,"АО ""Третий парк""",9619
533,Финэкс Фандз (FinEx Funds plc),32962
534,ФинЭкс Физикли Бэкт Фандз (FinEx Physically Backed Funds plc),33698
535,"АО ""Росагролизинг""",1607
536,"ОАО ""ВКХП""",386
537,"ПАО ""Центрресурс""",36260
538,"ОАО ""НК ""Роснефть"" - Артаг""",14116
539,"АО ""РОСНАНО""",27422
540,"ПАО КБ ""Центр-инвест""",3018
541,"АО ""1 МПЗ им. В.А. Казакова""",6866
542,"ПАО ""МТФ""",2624
543,"ОАО НПО ""Физика""",11292
544,"АО ""Газпром газораспределение Иваново""",19771
545,"ПАО ""ТМК""",274
546,"АО ""РН-Влакра""",21321
547,"АО ""МЗЭМ""",31861
548,"АО ""ЛЕПСЕ""",7523
549,"АО ""САНТЕХ""",29288
550,"ОАО ""Хладокомбинат""",11727
551,"ООО ""Ред Софт""",37300
552,"ОАО ""Архморторгпорт"", ОАО ""АМТП""",4394
553,"АО БАНК ""НБТ""",3523
554,"ОАО ККПК ""Краснодарглавснаб""",2356
555,"ПАО ""Роствертол""",3654
556,"ОАО ""КЗХ ""Бирюса""",2830
557,"ООО ""КВС""",37275
558,"ПАО ""Витабанк""",815
559,"НПО ""ЭЛСИБ"" ПАО",4966
560,"ОАО ""Оптовый рынок строительных материалов""",20383
561,"АКБ ""ПЕРЕСВЕТ"" (ПАО)",1526
562,"ОАО ""Валерия""",3266
563,"ОАО ""ОРП""",21276
564,"АО ""Сев.-Зап. ПКП ""Оборонпромкомплекс""",17229
565,"АО ""ПНИТИ""",11318
566,"ПАО ""Колымаэнерго""",1760
567,"ПАО ""Кировский завод ""Маяк""",5724
568,"ОАО ""Вузремстроймонтаж""",35781
569,"АО ""Лента""",4240
570,"АО ""Себряковцемент""",19681
571,ПАО «Ядринский кирпичный завод»,35500
572,"ПАО ""Евразийский банк""",8865
573,"ОАО ""Трансстроймеханизация""",34139
574,"ПАО ""Моргаушский кирпичный завод""",9233
575,"ОАО ""ВИЗ""",13792
576,"ОАО ""Промсвязь""",21953
577,"АКБ ""Абсолют Банк"" (ПАО)",355
578,АО «Строительный трест № 46»,4544
579,"ОАО ""Владснаб""",3365
580,"АО ""Открытие Холдинг""",28941
581,"ОАО ""Дальэлектрон""",9208
582,"ОАО ""Старт-Терминал""",28308
583,"ОАО ""Саханефтегазсбыт""",1583
584,"ПАО ""ВМТП""",1559
585,ООО «Магистраль двух столиц»,34959
586,"ПАО АФК ""Система""",4772
587,"ПАО ""г/к ""Ялта-Интурист""",34948
588,"АО ""Райффайзенбанк""",1791
589,"ПАО ""Амфора""",37627
590,"ОАО ""МАУС""",9051
591,"АО ""МосЭП""",25026
592,"ОАО ""Рязаньпромбурвод""",23888
593,«Азиатско-Тихоокеанский Банк» (ПАО),3165
594,ОАО Концерн КЭМЗ,26457
595,"ПАО ""Механический завод №2""",10547
596,"АКБ ""Инвестторгбанк"" (ПАО)",338
597,"ООО ""Урожай""",38146
598,"ПАО ""ЗФЗ""",1267
599,ПАО ОМЗ,249
600,"ПАО ""Саратовский НПЗ""",3707
601,"ПАО ""Чернышковский элеватор""",19762
602,"АО ""НПП ""Старт"" им. А.И. Яскина""",4433
603,"ПАО ""Керамика""",27949
604,"АО ""ЗАВОД ""КОМПОНЕНТ""",3342
605,"АО ""Вэлдан""",27025
606,АО «ОТП Банк»,2709
607,ПАО «Востоксвязь»,35733
608,"ПАО ""НИКО-БАНК""",105
609,"ПАО ""КЗМС""",3769
610,"ПАО ""НПП ""Импульс""",4539
611,ГКЗ (ПАО),5920
612,"ПАО ""Газпром спецгазавтотранс""",2287
613,"АО ""НПП ""Радуга""",27883
614,"ОАО ""Сочисельхозхимия""",27358
615,АО НИИТМ,25520
616,"ПАО ""БКСМ""",7861
617,"ОАО ""Запсибгазпром""",3260
618,"ПАО ""Богородскнефть""",17703
619,"АО ""АК ""Туламашзавод""",2126
620,"ОАО ""ЧЛПК""",24945
621,"ОАО ""ЛИИП им. Гризодубовой В. С.",14084
622,"ПАО  ""Таганрогбанк""",2696
623,"ПАО ИФ ""Аз-Капитал""",167
624,"ОАО ""Директ-фонд""",18643
625,"АО ""ККК""",13066
