,company,comp_id
291,"АО ""Комбинат Стройконструкция""",10083
292,"ПАО ""Варяг"", ПАО ""Завод ""Варяг""",5829
293,"ПАО ""Белуга Групп""",7380
294,"ПАО ""АСЗ""",1381
295,"ООО ""ХКФ Банк""",4644
296,"ОАО ""Весна-23""",35442
297,"ПАО ""Кировский завод ""Маяк""",5724
298,"АО ""Иргиредмет""",12926
299,"ОАО "" Дубитель """,11527
300,"ОАО ""АБС ЗЭиМ Автоматизация""",2829
301,"ОАО ""Тепловые сети""",17509
302,"АО""Омскавтотранс""",5375
303,"АО корпорация ""Нечерноземагропромстрой""",35697
304,"АО ""Себряковцемент""",19681
305,"ПАО СЗ ""ЭКРАН""",16452
306,ПАО СВТ,32089
307,"Банк ""Возрождение"" (ПАО)",120
308,ПАО «Россети Юг»,11999
309,"ОАО ""Алтайкрайгазсервис""",1038
310,"ПАО ""ЧЕЛЯБИНВЕСТБАНК""",1780
311,"ОАО ""МРСК Урала""",12105
312,"ПАО ""Варьеганнефть""",758
313,"ПАО ""Коршуновский ГОК""",3552
314,"ОАО ""Амурфармация""",9371
315,"ПАО АКБ ""Приморье""",2839
316,"ОАО ""Анадырьморпорт""",29089
317,"ПАО ""Сахалинэнерго""",4842
318,"ПАО ""НК ""Роснефть""-Дагнефть""",10905
319,ОАО «Вязниковский леспромхоз»,8048
320,ООО «Магистраль двух столиц»,34959
321,"ОАО ""Завод ЭЛКАП""",26207
322,"ПАО ""Саратовэнерго""",3346
323,"ООО ""РОЛЬФ""",37542
324,"ПАО ""ДЭНИКОМО ГРУПП""",36398
325,"ПАО ""ЗКИ""",14987
326,"ПАО ""Богучанская ГЭС""",1573
327,"ПАО ""ПБТФ""",1676
328,"АО ""Красногорское""",24020
329,"АО ""Маслокомбинат Чановский""",6515
330,"АО СКБ ВТ ""ИСКРА""",21314
331,"ЗАО  ""Петродворцовое""",38079
332,"ОАО ""КУ ""Венцы-Заря""",12589
333,"АО ""Промжелдортранс""",4651
334,"АО ""ЦЕНТРТРУБОПРОВОДСТРОЙ""",37958
335,"ООО ""Станция""",37505
336,"АО ""Гарант-сервис""",18944
337,"АО ""ГПБ — УА""",11922
338,"ООО ""МигКредит""",34679
339,"АО ""Национальный капитал""",11155
340,ПАО Сбербанк,3043
341,"ПАО ""Газпром нефть""",347
342,"ООО ""ГТЛК-1520""",37697
343,ПАО «НК «Роснефть»,6505
344,МКПАО «ЭН+ ГРУП»,37955
345,ООО «СФО РУСОЛ 1»,37931
346,"АО ""Краснодарстрой""",10055
347,ИНГ БАНК (ЕВРАЗИЯ) АО,24315
348,"АО ""НАЩЕКИНО""",36506
349,"ОАО ""АПК ""Константиново""",310
350,"АО ""Опытное производство""",38071
351,"ПАО НК ""РуссНефть""",534
352,"АО ""Тбилисское ГАТП""",27420
353,"ПАО ""ГМК ""Норильский никель""",564
354,"ООО ""Жилкапинвест""",37276
355,"ПАО ""ТМК""",274
356,ПАО «Компания «Сухой»,13900
357,ООО «Авенир»,34364
358,"ПАО ""ПЕНЗМАШ""",2597
359,"ПАО ""Группа Черкизово""",6652
360,ПАО “Совкомфлот”,11967
361,"ПАО ""Морион""",1172
362,"СПАО ""РЕСО-Гарантия""",100
363,"АКБ ""Держава"" ПАО",1651
364,"ОАО ""КУМЗ""",id=45
365,"ОАО ""Авангард""",5089
366,"ПАО ""Арго-Инвест""",5271
367,"АО ""Вертолеты России""",21113
368,"ООО ""Ред Софт""",37300
369,"КБ ""МИА"" (АО)",384
370,"ОАО ""МЮЗ""",12111
371,"ОАО ""Росместпром""",26120
372,"АО ""Сельэлектросетьстрой""",9637
373,ПАО «КМЗ»,8976
374,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",202
375,ООО «УК «Райффайзен Капитал»,37192
376,"ООО ""ДЭНИ КОЛЛ""",37709
377,"ПАО ""НОВАТЭК""",225
378,"АО ""ТГМ Групп""",37052
379,"ПАО ""КЮП""",15399
380,"ПАО ""Саратовнефтегаз""",4802
381,"ОАО ""ЦНИТА""",26786
382,"ЗАО ""Электросигнал""",id=23
383,"ОАО ""Уралтрансстрой""",10147
384,"ООО ""Агрофирма ""Рубеж""",37814
385,"АО ""Трест Гидромонтаж""",7639
386,"АК ""АЛРОСА"" (ПАО)",199
387,"ОАО ""Завод радиоаппаратуры""",882
388,"ООО ""ДелоПортс""",35359
389,"АО ""ПАТП-2""",20814
390,"ОАО ""Аэропорт Ростов-на-Дону""",11475
391,"ПАО ""ГСКБ""",4645
